eid,orcid,surname,initials,givenname,affiliation,documents,affiliation_id,city,country,areas,au_id
9-s2.0-56597999600,,Beckley,C.,Chris,"George Mason University, Fairfax Campus",2,60018319,Fairfax,United States,COMP (6); SOCI (2),56597999600
9-s2.0-57194046826,,Paul,A.,Andrew,University of Wisconsin Platteville,1,60014628,Platteville,United States,COMP (3); SOCI (1),57194046826
9-s2.0-57194039586,,Kimn,A.,Alex,Massachusetts Institute of Technology,1,60022195,Cambridge,United States,COMP (3); SOCI (1),57194039586
9-s2.0-16229529400,0000-0003-3941-1088,Blikstein,P.,Paulo,Columbia University,164,60030162,New York,United States,COMP (270); SOCI (100); ENGI (21),16229529400
9-s2.0-7102963606,,Seltzer,M.I.,Margo I.,The University of British Columbia,157,60010365,Vancouver,Canada,COMP (253); ENGI (29); MATH (25),7102963606
9-s2.0-15762040900,,Brunskill,E.,Emma,Stanford University,138,60012708,Palo Alto,United States,COMP (252); MATH (23); ENGI (21),15762040900
9-s2.0-57201621048,,Kumar,V.S.,Vive Suresh,Athabasca University,121,60018510,Athabasca,Canada,COMP (169); SOCI (69); ENGI (23),57201621048
9-s2.0-8301478000,,Wise,A.F.,Alyssa Friend,NYU Steinhardt,85,60108319,New York,United States,COMP (128); SOCI (57); PSYC (5),8301478000
9-s2.0-36843894700,0000-0002-8566-8231,Ferguson,R.,Rebecca,The Open University,65,60012113,Milton Keynes,United Kingdom,COMP (138); SOCI (32); MATH (4),36843894700
9-s2.0-36544543100,0000-0001-8684-2070,Türkay,S.,Selen,Queensland University of Technology,62,60011019,Brisbane,Australia,COMP (116); SOCI (23); PSYC (11),36544543100
9-s2.0-22136039600,0000-0002-6068-5561,Riedel-Kruse,I.H.,Ingmar Hans,The University of Arizona,59,60010065,Tucson,United States,COMP (38); BIOC (28); MEDI (26),22136039600
9-s2.0-7102182425,,Rowland,D.A.,Duncan A.,University of Nottingham,52,60015138,Nottingham,United Kingdom,COMP (71); PSYC (11); ARTS (10),7102182425
9-s2.0-35772345700,0000-0001-8588-7429,Hill,B.M.,Benjamin Mako,University of Washington,48,60015481,Seattle,United States,COMP (93); SOCI (25); MEDI (2),35772345700
9-s2.0-23008419000,,DeNero,J.,John,"University of California, Berkeley",46,60025038,Berkeley,United States,COMP (70); SOCI (29); ARTS (20),23008419000
9-s2.0-35743909500,,van der Sluis,F.,Frans,Københavns Universitet,29,60030840,Copenhagen,Denmark,COMP (54); SOCI (5); DECI (3),35743909500
9-s2.0-55250030200,,Bumbacher,E.W.,Engin W.,Haute École pédagogique du canton de Vaud,27,101404739,Lausanne,Switzerland,COMP (33); SOCI (20); ENGI (2),55250030200
9-s2.0-56505202800,,Ostrow,K.S.,Korinn S.,Edmentum,26,126709403,Bloomington,United States,COMP (41); SOCI (16); MATH (7),56505202800
9-s2.0-39061169700,0000-0001-6083-2114,Dasgupta,S.,Sayamindu,University of Washington,22,60015481,Seattle,United States,COMP (53); SOCI (7),39061169700
9-s2.0-36470543700,,Kode,S.,Sandhya,"International Institute of Information Technology, Hyderabad",21,60000163,Hyderabad,India,COMP (19); SOCI (19); BUSI (2),36470543700
9-s2.0-56144855700,,Stephens-Martinez,K.,Kristin,Duke University,16,60008724,Durham,United States,COMP (21); SOCI (13); BUSI (2),56144855700
9-s2.0-57189377879,,Antonova,R.,Rika,Stanford University,15,60012708,Palo Alto,United States,COMP (37); ENGI (22); MATH (8),57189377879
9-s2.0-14011971800,,Kruse,O.,Otto,ZHAW Zurich University of Applied Sciences,14,60015769,Winterthur,Switzerland,SOCI (18); COMP (9); PSYC (6),14011971800
9-s2.0-56640937100,,Hossain,Z.,Zahid,American International University - Bangladesh,13,60104425,Dhaka,Bangladesh,COMP (21); SOCI (5); ENGI (3),56640937100
9-s2.0-57210647455,,Hou,B.,Brian,University of Washington,12,60015481,Seattle,United States,COMP (24); ENGI (12); SOCI (5),57210647455
9-s2.0-57163561300,0000-0002-8058-9163,Van Der Zee,T.,Tim,"Interfacultair Centrum voor Lerarenopleiding, Onderwijsontwikkeling en Nascholing",11,60014540,Leiden,Netherlands,COMP (13); SOCI (6); MEDI (5),57163561300
9-s2.0-56597233100,,Cui,Y.,Yi,New York University,10,60021784,New York,United States,COMP (26); SOCI (5); PSYC (1),56597233100
9-s2.0-36492194200,,Rapp,C.,Christian,ZHAW Zurich University of Applied Sciences,9,60015769,Winterthur,Switzerland,COMP (15); SOCI (8),36492194200
9-s2.0-57194029790,,Lu,X.,Xiwen,Brandeis University,7,60016247,Waltham,United States,COMP (8); SOCI (7); PSYC (2),57194029790
9-s2.0-57189385300,,Sridhara,S.,Sumukh,"University of California, Berkeley",4,60025038,Berkeley,United States,COMP (5); SOCI (4); BUSI (1),57189385300
9-s2.0-57190686838,,Jin,W.,Wanqi,Simon Fraser University,3,60018491,Burnaby,Canada,COMP (9); SOCI (2),57190686838
9-s2.0-57189383661,,Ginn,J.,Jasper,Leiden University,3,60019816,Leiden,Netherlands,COMP (10); SOCI (2),57189383661
9-s2.0-56035003000,,Appiah-Kubi,K.,Kwamena,University of Lincoln,3,60026830,Lincoln,United Kingdom,COMP (8); MATH (1); SOCI (1),56035003000
9-s2.0-56597873400,,Runde,J.,Joe,Carnegie Mellon University,2,60027950,Pittsburgh,United States,COMP (6); SOCI (2),56597873400
9-s2.0-56597067400,,Lee,M.,Min-hyung,Carnegie Mellon University,2,60027950,Pittsburgh,United States,COMP (6); SOCI (2),56597067400
9-s2.0-57194028723,,Eidelman,H.,Hadas,Harvard University,1,60009982,Cambridge,United States,COMP (3); SOCI (1),57194028723
9-s2.0-57189389570,,Lu,J.,Jeffrey,"University of California, Berkeley",1,60025038,Berkeley,United States,COMP (3); SOCI (1),57189389570
9-s2.0-55375749200,,Offutt,J.,Jeff,George Mason University,199,60018319,Fairfax,United States,COMP (257); ENGI (89); MATH (12),55375749200
9-s2.0-9737265900,,Rangwala,H.S.,Huzefa S.,"Amazon.com, Inc.",189,60076757,Seattle,United States,COMP (262); BIOC (72); MATH (51),9737265900
9-s2.0-15059978800,,Hartmann,B.D.,Björn D.,"University of California, Berkeley",129,60025038,Berkeley,United States,COMP (284); ENGI (22); MATH (6),15059978800
9-s2.0-56391668100,,Kumar,N.S.,Neha Senthil,Kongunadu Arts and Science College,123,60072225,Coimbatore,India,COMP (301); SOCI (26); MEDI (2),56391668100
9-s2.0-7007049030,,Ammann,P.E.,Paul E.,George Mason University,109,60018319,Fairfax,United States,COMP (141); ENGI (54); MATH (13),7007049030
9-s2.0-52863449200,,D&amp;apos;Antoni,L.,Loris,University of Wisconsin-Madison,76,60032179,Madison,United States,COMP (111); MATH (24); ENGI (9),52863449200
9-s2.0-6507633248,0000-0002-3411-3009,Cobos,R.,Ruth,Universidad Autónoma de Madrid,71,60026796,Madrid,Spain,COMP (81); SOCI (32); ENGI (22),6507633248
9-s2.0-17436496700,,von Luxburg,U.,Ulrike,Eberhard Karls Universität Tübingen,67,60017246,Tubingen,Germany,COMP (107); MATH (31); ENGI (16),17436496700
9-s2.0-6701569101,,Setia,S.K.,Sanjeev K.,George Mason University,50,60018319,Fairfax,United States,COMP (69); ENGI (22); MATH (9),6701569101
9-s2.0-23975966600,,Lester,J.,Jaime,George Mason University,44,60018319,Fairfax,United States,SOCI (42); COMP (8); ENGI (3),23975966600
9-s2.0-36162738100,,Figueiredo,L.S.,Lucas Silva,Universidade Federal Rural de Pernambuco,42,60000958,Recife,Brazil,COMP (84); ENGI (20); MATH (9),36162738100
9-s2.0-57193575409,,Suzuki,R.,Ryo,University of Calgary,35,60002306,Calgary,Canada,COMP (93); ENGI (5); SOCI (1),57193575409
9-s2.0-56236876600,,Renz,J.,Jan,Hasso-Plattner-Institut für Softwaresystemtechnik GmbH,34,60106550,Potsdam,Germany,COMP (57); SOCI (22); ENGI (14),56236876600
9-s2.0-36132146800,,Soares,G.,Gustavo,Microsoft Corporation,33,60026532,Redmond,United States,COMP (56); ENGI (9); SOCI (4),36132146800
9-s2.0-57189379855,0000-0002-2159-267X,Kumar,A.,Arkadeep,"University of California, Berkeley",23,60025038,Berkeley,United States,ENGI (19); COMP (14); MATE (10),57189379855
9-s2.0-57156107000,,Head,A.,Andrew,University of Pennsylvania,22,60006297,Philadelphia,United States,COMP (54); SOCI (2); ARTS (1),57156107000
9-s2.0-8304995800,,Praphamontripong,U.,Upsorn,University of Virginia,18,60021918,Charlottesville,United States,COMP (22); ENGI (9); SOCI (4),8304995800
9-s2.0-56562339300,,Bauer,M.,Matthias,Hasso-Plattner-Institut für Softwaresystemtechnik GmbH,16,60106550,Potsdam,Germany,COMP (23); ENGI (11); SOCI (8),56562339300
9-s2.0-57213127778,,Sajjadi,M.S.M.,Mehdi S.M.,DeepMind Technologies Limited,14,60111161,London,United Kingdom,COMP (28); SOCI (5); MATH (2),57213127778
9-s2.0-57188876373,,Vishwanath,A.,Aditya,Stanford University,11,60012708,Palo Alto,United States,COMP (27); SOCI (3); PSYC (1),57188876373
9-s2.0-36986771100,,Alamgir,M.,Morteza,Universität Hamburg,8,60028229,Hamburg,Germany,COMP (13); ENGI (3); MATH (3),36986771100
9-s2.0-57189389562,,Lareo,Á.,Ángel,Universidad Autónoma de Madrid,7,60026796,Madrid,Spain,COMP (10); NEUR (3); ENVI (2),57189389562
9-s2.0-26648094500,,Dobolyi,K.,Kinga,"George Mason University, Fairfax Campus",7,60018319,Fairfax,United States,COMP (12); ENGI (2); SOCI (1),26648094500
9-s2.0-36522085300,,Jardine-Wright,L.,Lisa,Department of Physics,5,60121115,Cambridge,United Kingdom,COMP (3); PHYS (3); SOCI (2),36522085300
9-s2.0-56318835000,,Stead,A.G.,Alistair G.,University of Cambridge,4,60031101,Cambridge,United Kingdom,COMP (9); SOCI (2); PHYS (1),56318835000
9-s2.0-55429749500,,Petrick,D.,Dominic,Hasso-Plattner-Institut für Softwaresystemtechnik GmbH,2,60106550,Potsdam,Germany,COMP (4); SOCI (1); MATH (1),55429749500
9-s2.0-57194040509,,White,L.,Liz,"George Mason University, Fairfax Campus",1,60018319,Fairfax,United States,COMP (3); SOCI (1),57194040509
9-s2.0-57194032711,,Kauffmann,C.,Chris,"George Mason University, Fairfax Campus",1,60018319,Fairfax,United States,COMP (3); SOCI (1),57194032711
9-s2.0-57194030755,,Wang,P.,Pearl,"George Mason University, Fairfax Campus",1,60018319,Fairfax,United States,COMP (3); SOCI (1),57194030755
9-s2.0-57189389417,0000-0002-7165-1594,Gil,S.,Silvia,Universidad Autónoma de Madrid,1,60026796,Madrid,Spain,COMP (3); SOCI (1),57189389417
9-s2.0-57189379515,,Schoen,C.,Colin,"University of California, Berkeley",1,60025038,Berkeley,United States,COMP (3); SOCI (1),57189379515
9-s2.0-57189375383,,Vargas,F.A.,Francisco A.,Universidad Autónoma de Madrid,1,60026796,Madrid,Spain,COMP (3); SOCI (1),57189375383
9-s2.0-7006538185,,Linn,M.C.,Marcia C.,"University of California, Berkeley",290,60025038,Berkeley,United States,SOCI (268); COMP (114); PSYC (41),7006538185
9-s2.0-23393559900,0000-0001-9854-9963,Pérez-Sanagustín,M.,Mar,Université Fédérale Toulouse Midi-Pyrénées,129,60102124,Toulouse,France,COMP (161); SOCI (59); ENGI (33),23393559900
9-s2.0-16744016300,,Lee,B.K.,Brian K.,Karolinska Institutet,97,60012311,Stockholm,Sweden,MEDI (149); NEUR (22); BIOC (20),16744016300
9-s2.0-8897973100,,Forte,A.,Andrea,Drexel University,75,60014662,Philadelphia,United States,COMP (132); SOCI (28); ENGI (9),8897973100
9-s2.0-35752984100,,Banerjee,S.,Siddhartha,Cornell University,71,60007776,Ithaca,United States,COMP (138); MATH (24); ENGI (12),35752984100
9-s2.0-57190294959,0000-0003-1953-390X,Maldonado-Mahauad,J.,Jorge,University of Cuenca,53,60072035,Cuenca,Ecuador,COMP (83); SOCI (22); MATH (13),57190294959
9-s2.0-56051357700,0000-0002-1726-3224,Gülbahar,Y.,Yasemin,"Ankara Üniversitesi, Faculty of Educational Sciences",45,103666897,Ankara,Turkey,SOCI (50); COMP (28); MATH (7),56051357700
9-s2.0-55810128500,,Teusner,R.,Ralf,Universität Potsdam,36,60021763,Potsdam,Germany,COMP (47); SOCI (19); ENGI (15),55810128500
9-s2.0-55354364400,,Vie,J.J.,Jill Jênn,INRIA Saclay,35,60105988,Palaiseau,France,COMP (25); MEDI (25); MATH (7),55354364400
9-s2.0-14042375400,,Popineau,F.,Fabrice,CentraleSupélec,31,60106088,Gif-sur-Yvette,France,COMP (50); MATH (14); SOCI (7),14042375400
9-s2.0-55963460800,,Vitale,J.M.,Jonathan Michael,School District of Philadelphia,28,100343056,Philadelphia,United States,COMP (27); SOCI (25); PSYC (4),55963460800
9-s2.0-56227555000,0000-0002-0308-783X,Kim,M.C.,Meen Chul,The Children's Hospital of Philadelphia,24,60030118,Philadelphia,United States,SOCI (19); COMP (17); MEDI (10),56227555000
9-s2.0-56335976300,,Wiese,E.S.,Eliane Stampfer,The University of Utah,21,60025488,Salt Lake City,United States,COMP (43); SOCI (8); NEUR (5),56335976300
9-s2.0-35273007300,,Park,T.H.,Thomas H.,Codepip,20,122425864,Philadelphia,United States,COMP (32); SOCI (9); BUSI (2),35273007300
9-s2.0-56597705000,,McBride,E.A.,Elizabeth A.,SRI International,17,60000461,Menlo Park,United States,COMP (24); SOCI (14); MATH (1),56597705000
9-s2.0-56317667900,,Firssova,O.,Olga,Open Universiteit,15,60024360,Heerlen,Netherlands,COMP (12); SOCI (10); MATH (4),56317667900
9-s2.0-57195643963,0000-0001-7878-7171,Vijaya Saradhi,D.,D.,Malineni Perumallu Educational society's group of institutions,11,60115133,Guntur,India,COMP (11); ENGI (10); MATH (3),57195643963
9-s2.0-56189611300,,Tort,F.,Françoise,École Normale Supérieure Paris-Saclay,10,60004981,Gif-sur-Yvette,France,COMP (12); MATH (5); SOCI (3),56189611300
9-s2.0-24070304000,,Denos,N.,Nathalie,Laboratoire d'Informatique de Grenoble,9,60108044,Saint Martin d'Heres,France,COMP (11); MATH (2); SOCI (1),24070304000
9-s2.0-56598047400,,Northcutt,C.G.,Curtis G.,Massachusetts Institute of Technology,8,60022195,Cambridge,United States,COMP (15); SOCI (4); ARTS (1),56598047400
9-s2.0-56335563500,,Selent,D.,Douglas,Worcester Polytechnic Institute,8,60011410,Worcester,United States,COMP (16); SOCI (4); MATH (2),56335563500
9-s2.0-57213207864,,Martínez,M.C.,Mario C.,IPARCOS-UCM (Instituto de Física de Partículas y del Cosmos),6,60268514,Madrid,Spain,PHYS (4); COMP (4); SOCI (2),57213207864
9-s2.0-55512752200,,Marteau,B.,Benjamin,Numerical Algorithms Group,6,60091787,Oxford,United Kingdom,EART (8); COMP (6); MATH (3),55512752200
9-s2.0-57194695081,,Chen,N.,Naichun,Massachusetts Institute of Technology,4,60022195,Cambridge,United States,COMP (8); ENGI (2); SOCI (2),57194695081
9-s2.0-57188817705,0000-0002-8433-335X,Chen,A.,Antares,The University of Chicago,4,60029278,Chicago,United States,COMP (7); MATH (4); SOCI (1),57188817705
9-s2.0-57189382295,,Reddy,S.,Siddharth,Cornell University,3,60007776,Ithaca,United States,COMP (8); SOCI (2),57189382295
9-s2.0-57194037589,,Leon,K.A.,Kimberly A.,Massachusetts Institute of Technology,2,60022195,Cambridge,United States,COMP (4); MATH (1); SOCI (1),57194037589
9-s2.0-57194036933,,Yen,M.,Michael,Turnitin,2,123362167,Oakland,United States,COMP (5); SOCI (1),57194036933
9-s2.0-57189387209,,Chhabra,S.,Sukrit,Drexel University,2,60014662,Philadelphia,United States,COMP (3); SOCI (2); BUSI (1),57189387209
9-s2.0-56597890400,,Gogel,H.,Hannah,"University of California, Berkeley",2,60025038,Berkeley,United States,COMP (6); SOCI (2),56597890400
9-s2.0-56159595800,,Rollmann,K.A.,Kai Adrian,Hasso-Plattner-Institut für Softwaresystemtechnik GmbH,2,60106550,Potsdam,Germany,COMP (6); SOCI (1),56159595800
9-s2.0-57194045304,,Santos,L.A.,Lucas A.,Universidade Federal de Sao Carlos,1,60013792,Sao Carlos,Brazil,COMP (3); SOCI (1),57194045304
9-s2.0-7201938514,,Kay,J.,Judy,The University of Sydney,258,60025709,Sydney,Australia,COMP (393); MATH (56); SOCI (47),7201938514
9-s2.0-6602804136,,Joachims,T.,Thorsten,Cornell University,147,60007776,Ithaca,United States,COMP (264); MATH (30); ENGI (23),6602804136
9-s2.0-57203070987,,Gordon,G.J.,Geoffrey J.,Carnegie Mellon University,145,60027950,Pittsburgh,United States,COMP (240); ENGI (59); MATH (34),57203070987
9-s2.0-6602815446,,Bruckman,A.S.,Amy S.,Georgia Institute of Technology,134,60019647,Atlanta,United States,COMP (267); SOCI (42); MATH (7),6602815446
9-s2.0-18437133300,0000-0003-1471-5827,Kalz,M.,Marco,Pädagogische Hochschule Heidelberg,123,60011411,Heidelberg,Germany,COMP (117); SOCI (71); MATH (36),18437133300
9-s2.0-7005935975,,Littlejohn,A.H.,Allison H.,UCL Knowledge Lab,112,60117699,London,United Kingdom,SOCI (116); COMP (41); BUSI (21),7005935975
9-s2.0-54973771000,0000-0003-0877-6244,DeBoer,J.J.,Jennifer J.,Purdue University,93,60009254,West Lafayette,United States,ENGI (72); SOCI (66); COMP (34),54973771000
9-s2.0-7103410052,,Swan,K.P.,Karen P.,International Adult and Continuing Education Hall of Fame,76,130003649,,United States,SOCI (73); COMP (48); PSYC (4),7103410052
9-s2.0-7004114606,0000-0003-1416-5052,Coe,A.L.,Angela L.,The Open University,66,60012113,Milton Keynes,United Kingdom,EART (100); AGRI (10); ENVI (9),7004114606
9-s2.0-8937994200,0000-0002-6240-2684,Brouns,F.,Francis,Open Universiteit,46,60024360,Heerlen,Netherlands,COMP (42); SOCI (32); ENGI (7),8937994200
9-s2.0-54929502400,,Fancsali,S.E.,Stephen E.,Carnegie Institute,41,126173372,Carnegie,United States,COMP (71); MATH (7); SOCI (4),54929502400
9-s2.0-6603405804,,DiCerbo,K.E.,Kristen Eignor,Arizona State University,35,60003892,Tempe,United States,SOCI (29); COMP (20); PSYC (13),6603405804
9-s2.0-22633386500,,Breslow,L.,Lori,Massachusetts Institute of Technology,23,60022195,Cambridge,United States,SOCI (16); COMP (9); ENGI (8),22633386500
9-s2.0-48561096600,,González-Brenes,J.P.,José P.,"Chegg, Inc.",18,60159741,Santa Clara,United States,COMP (28); MATH (5); SOCI (2),48561096600
9-s2.0-9040602600,,Haywood,J.,Jeff,The University of Edinburgh,14,60027272,Edinburgh,United Kingdom,SOCI (13); COMP (6); MATH (1),9040602600
9-s2.0-55603802600,0000-0003-3812-0262,Shore,J.,Jesse,Questrom School of Business,13,60116524,Boston,United States,SOCI (12); BUSI (12); COMP (7),55603802600
9-s2.0-36469995900,,Falakmasir,M.H.,Mohammad Hassan,University of Pittsburgh,12,60015543,Pittsburgh,United States,COMP (20); SOCI (3); NEUR (1),36469995900
9-s2.0-53363531500,,Day,S.L.,Scott L.,University of Illinois Springfield,11,60005820,Springfield,United States,SOCI (12); COMP (9),53363531500
9-s2.0-57189380630,0000-0002-6711-3435,Berman,S.R.,Susan R.,"Carnegie Learning, Inc.",10,100509448,Pittsburgh,United States,COMP (20); MATH (2); SOCI (2),57189380630
9-s2.0-56912388900,,Papathoma,T.,Tina,Fachhochschule für Technik und Wirtschaft Berlin,8,60028498,Berlin,Germany,COMP (15); MATH (3); SOCI (3),56912388900
9-s2.0-55789657600,,Kelly,K.M.,Kim M.,Worcester Polytechnic Institute,8,60011410,Worcester,United States,COMP (11); MATH (2); SOCI (2),55789657600
9-s2.0-53363309700,,Bogle,L.R.,Leonard Ray,University of Illinois Springfield,7,60005820,Springfield,United States,COMP (8); SOCI (7),53363309700
9-s2.0-57189376585,,Baek,J.,Jiye,Korea University Business School,5,60212025,Seoul,South Korea,COMP (7); BUSI (6); DECI (4),57189376585
9-s2.0-57189390817,,Langston,J.,Jacob,Georgia Institute of Technology,1,60019647,Atlanta,United States,COMP (3); SOCI (1),57189390817
9-s2.0-57189390671,,Lupiani,I.,Isabel,Georgia Institute of Technology,1,60019647,Atlanta,United States,COMP (3); SOCI (1),57189390671
9-s2.0-57189387585,,Irish,L.,Liam,Georgia Institute of Technology,1,60019647,Atlanta,United States,COMP (3); SOCI (1),57189387585
9-s2.0-57189385297,,Lustig,M.,Mike,Georgia Institute of Technology,1,60019647,Atlanta,United States,COMP (3); SOCI (1),57189385297
9-s2.0-57189384731,,Navarro-Suarez,G.,Gerado,Hasso-Plattner-Institut für Softwaresystemtechnik GmbH,1,60106550,Potsdam,Germany,COMP (3); SOCI (1),57189384731
9-s2.0-57189383346,,Lam,Y.,Yeeling,Georgia Institute of Technology,1,60019647,Atlanta,United States,COMP (3); SOCI (1),57189383346
9-s2.0-57189382578,,Ashby,W.,Wade,Georgia Institute of Technology,1,60019647,Atlanta,United States,COMP (3); SOCI (1),57189382578
9-s2.0-57189381495,,Sathi,R.,Rowshan,Hasso-Plattner-Institut für Softwaresystemtechnik GmbH,1,60106550,Potsdam,Germany,COMP (3); SOCI (1),57189381495
9-s2.0-57189381108,,Smiley,A.,Angela,Georgia Institute of Technology,1,60019647,Atlanta,United States,COMP (3); SOCI (1),57189381108
9-s2.0-57189374946,,Pettoruto,P.,Paige,Georgia Institute of Technology,1,60019647,Atlanta,United States,COMP (3); SOCI (1),57189374946
9-s2.0-7003691791,,Breazeal,C.L.,Cynthia L.,Massachusetts Institute of Technology,282,60022195,Cambridge,United States,COMP (424); ENGI (133); SOCI (39),7003691791
9-s2.0-7005324365,,Dix,A.J.,Alan John,Swansea University,224,60004572,Swansea,United Kingdom,COMP (429); MATH (35); SOCI (30),7005324365
9-s2.0-35589119600,,Morris,R.D.,Robin D.,Georgia State University,145,60012387,Atlanta,United States,PSYC (172); MEDI (102); SOCI (58),35589119600
9-s2.0-57193818352,0000-0003-1060-2956,Wang,Y.,Yan,Worcester Polytechnic Institute,98,60011410,Worcester,United States,MATE (76); ENER (60); CHEM (48),57193818352
9-s2.0-7402497731,,Wolf,M.,Maryanne,Tufts University,73,60023143,Medford,United States,SOCI (59); PSYC (57); MEDI (17),7402497731
9-s2.0-25825842400,,Vihavainen,A.,Arto,Helsingin Yliopisto,52,60002952,Helsinki,Finland,COMP (65); SOCI (31); MATH (8),25825842400
9-s2.0-6602885272,,Pinkard,N.,Nichole,Northwestern University,46,60007363,Evanston,United States,COMP (50); SOCI (46); ENGI (5),6602885272
9-s2.0-16040033600,,Martin,C.K.,Caitlin Kennedy,Independent Scholar,40,101833911,Oakland,United States,SOCI (38); COMP (37); ENGI (6),16040033600
9-s2.0-56287013900,,Chaplot,D.S.,Devendrá Singh,Meta,27,60271648,Menlo Park,United States,COMP (46); SOCI (9); ARTS (6),56287013900
9-s2.0-27567593400,,Atapattu,T.,Thushari,The University of Adelaide,23,60009512,Adelaide,Australia,COMP (29); SOCI (8); MATH (7),27567593400
9-s2.0-57189382725,,Leppänen,L.J.,Leo J.,Helsingin Yliopisto,21,60002952,Helsinki,Finland,COMP (39); SOCI (10); ARTS (4),57189382725
9-s2.0-26036277500,,Nacu,D.C.,Denise C.,DePaul University,21,60026860,Chicago,United States,COMP (28); SOCI (21); ENGI (5),26036277500
9-s2.0-7201561933,,Orr,J.L.,John Lindsay,Toll House,16,120638591,Innerleithen,United Kingdom,MATH (19); COMP (4); SOCI (1),7201561933
9-s2.0-56597749000,,Adjei,S.A.,Seth Akonor,Worcester Polytechnic Institute,15,60011410,Worcester,United States,COMP (33); SOCI (6); MATH (2),56597749000
9-s2.0-55923699600,,Kovacs,G.,Geza,"San Francisco Performances, Inc.",14,112952820,San Francisco,United States,COMP (40); SOCI (2),55923699600
9-s2.0-13605625900,,Roussev,B.,Boris,Google LLC,14,60006191,Mountain View,United States,COMP (19); SOCI (2); MATH (1),13605625900
9-s2.0-26537481600,,Gottwald,S.,Stephanie,Tufts University,12,60023143,Medford,United States,PSYC (11); SOCI (11); COMP (3),26537481600
9-s2.0-57865561800,,Kim,J.,Jihie,Samsung Group,9,60010484,Suwon,South Korea,COMP (16); SOCI (2); ARTS (1),57865561800
9-s2.0-6506810010,,Galyean,T.A.,Tinsley A.,MIT Media Lab,8,60002243,Cambridge,United States,COMP (12); PSYC (2); ENGI (1),6506810010
9-s2.0-56461324500,,Woodgate,A.,Amy,The University of Edinburgh,6,60027272,Edinburgh,United Kingdom,COMP (5); SOCI (5); MATH (1),56461324500
9-s2.0-55790398700,,Deutsch,A.,Amit,Google LLC,6,60006191,Mountain View,United States,COMP (15); MATH (1); SOCI (1),55790398700
9-s2.0-56244760800,,Schutzenhofer,M.C.,Michael C.,DePaul University,5,60026860,Chicago,United States,COMP (6); NEUR (4); PSYC (3),56244760800
9-s2.0-57189391384,,Scott,A.M.,Anne Marie,Athabasca University,4,60018510,Athabasca,Canada,SOCI (4); COMP (3); ENGI (1),57189391384
9-s2.0-57189380264,,Ou,C.,Chaohua,Georgia Institute of Technology,4,60019647,Atlanta,United States,COMP (6); SOCI (2); MATH (1),57189380264
9-s2.0-56904320900,,Rhim,E.,Eunhee,Samsung Electronics Co. Ltd.,4,60003780,Suwon,South Korea,COMP (6); BUSI (1); DECI (1),56904320900
9-s2.0-57189383671,,Mavon,K.,Kimia,Harvard University,3,60009982,Cambridge,United States,COMP (4); SOCI (2); BUSI (1),57189383671
9-s2.0-57189382475,,Vapaakallio,L.,Lassi,Helsingin Yliopisto,2,60002952,Helsinki,Finland,COMP (4); SOCI (1),57189382475
9-s2.0-56597906500,,Simakov,P.,Pavel,Google LLC,2,60006191,Mountain View,United States,COMP (6); SOCI (2),56597906500
9-s2.0-56597347800,,Cox,J.,John,Google LLC,2,60006191,Mountain View,United States,COMP (6); SOCI (2),56597347800
9-s2.0-57189383221,,Gainer,M.,Mike,Google LLC,1,60006191,Mountain View,United States,COMP (3); SOCI (1),57189383221
9-s2.0-57189377207,,Owers,J.,James,The University of Edinburgh,1,60027272,Edinburgh,United Kingdom,COMP (3); SOCI (1),57189377207
9-s2.0-57189376327,,Haynes,D.F.,Daniel F.,Georgia Institute of Technology,1,60019647,Atlanta,United States,COMP (3); SOCI (1),57189376327
9-s2.0-56069542600,,Lenaghan,M.,Michael,Google LLC,1,60006191,Mountain View,United States,COMP (3); SOCI (1),56069542600
